,ucsf_C1,ucsf_C2,ucsf_C3,ucsf_C4,ucsf_C5,ucsf_C6,ucsf_C7,ucsf_C8,ucsf_C9,ucsf_C10,ucsf_C11,ucsf_C12,ucsf_C13,ucsf_C14,ucsf_C15,sinai_emory_C1,sinai_emory_C2,sinai_emory_C3,sinai_emory_C4,sinai_emory_C5,sinai_emory_C6,sinai_emory_C7,sinai_emory_C8,sinai_emory_C9,sinai_emory_C10,sinai_emory_C11,sinai_emory_C12,sinai_emory_C13,sinai_emory_C14,sinai_emory_C15,sinai_emory_C16,cardiff_C1,cardiff_C2,cardiff_C3,cardiff_C4,cardiff_C5,cardiff_C6,cardiff_C7,cardiff_C8,cardiff_C9,cardiff_C10,cardiff_C11,cardiff_C12,cardiff_C13,cardiff_C14,cardiff_C15,cardiff_C16
Sleep disturbance,0.002257486841036352,0.00466247515558853,0.019978386344139554,0.008927425851875632,0.014961703820212795,0.023440028807955593,0.006126783290462944,0.025383438350943265,0.008968554741898727,0.01859584141788422,0.024346924936984544,0.011637787383474608,0.007020316248888325,0.00583204573282683,0.01181242217830838,0.008321063740232507,0.024455743066865696,0.023505797744372295,0.021267986494460784,0.02145322425252686,0.02511470262088677,0.02538729518190238,0.022062783180156042,0.032142806372407406,0.006454808817467338,0.002859509279082316,0.03334716823758613,0.0034457528430183117,0.03917300836946838,0.03993198398302172,0.02932792755850823,0.004467392884320663,0.008839952113997402,0.026230013289670753,0.027322323318294102,0.006144837085728714,0.039828241784228835,0.03770716837664997,0.04497656429980949,0.022773092600627313,0.02587686147674088,0.03238937171115829,0.012414057080249032,0.02273981503898145,0.05688827345092002,0.04130891553088098,0.03788993711329857
Dizziness,0.0013826485289858282,0.002683582432025509,0.022013983428488544,0.00797046087161213,0.004819789461590923,0.022335866597778416,0.003076742598431972,0.024174804900969946,0.006750464968159464,0.008642480703069154,0.029519965880700254,0.007091249063382217,0.004348224381811367,0.0034536902976116737,0.00551406719619568,0.01139321354229259,0.027829254987204753,0.025366516643910573,0.025381326341479774,0.025142361791969527,0.02979788841135819,0.028988770592805677,0.0174570933934169,0.035122942827530076,0.00894910035709157,0.006988716013565031,0.03434867900596363,0.007350232747889498,0.04217082522059462,0.0386743872972196,0.0332758864594868,0.005266518130008192,0.014344855715871683,0.027647633901383778,0.030442026351721666,0.007920897786069105,0.04412120793675992,0.040454503331436784,0.049201935076855975,0.022898263131704854,0.01849535440824392,0.03486367162248047,0.01363767226530561,0.02081504911898233,0.041759501455663206,0.0356984238748329,0.04041726894808762
"Fainting, blackouts",0.0002923090430291843,0.00048128420162983653,0.004555594545406982,0.0018104754141878563,0.0009312418628019736,0.0034350467531261753,0.0006073326553851777,0.002977273400705722,0.0014571303976537388,0.0011874227153468586,0.017954771255349052,0.0019233344553832357,0.0010881794259196542,0.0005670645522502997,0.001412708847076187,0.006318711283361323,0.008005971384506587,0.007624896064498353,0.005080444410009919,0.0041710629489317185,0.006058471827197798,0.006837920167047622,0.005459836448744302,0.010352999175702546,0.035330827795553674,0.05155069744563847,0.007194147181302328,0.05025701651159074,0.01532097878725682,0.009173180033777312,0.005053549747616676,0.004214469850101318,0.00654324151970369,0.01663904398313404,0.03775550804207462,0.005781369461723146,0.06564116526623442,0.04869753783694658,0.11292541144061363,0.05047303235562362,0.011342664599990124,0.07517771569149877,0.014793918637527841,0.08127251550348334,0.08070101457012185,0.04991957844448521,0.06364993205874948
Fatigue,0.003697856373733265,0.012543757144734676,0.020418245461752978,0.013942224474650725,0.017426561570210088,0.02333437541963138,0.010947889425993453,0.0238248620870634,0.013686673938607277,0.019482593014917032,0.024750629608874048,0.013851687565417494,0.018017162215801876,0.013885451623523523,0.018347609202438362,0.012676090995322327,0.02342134394061219,0.022720345056143013,0.023394473792039915,0.022269682477136385,0.025368939233719613,0.025967344147160207,0.02394798735831148,0.0282181719145973,0.008751046925081421,0.005744051115631316,0.027346295726511424,0.006790117491096636,0.02973500951510072,0.03020658236147959,0.02814566793751491,0.010161628619500136,0.025676456434538267,0.024603815857205672,0.0252080446430482,0.020388958204724677,0.028281913759117292,0.025971060171793226,0.030520712598209793,0.026111295274045793,0.025574245574416322,0.026862101682326393,0.025931513110920575,0.02220944111403969,0.028461998469124162,0.02756342442114159,0.03361266095104023
Headache,0.0030739619157053107,0.009823044764253618,0.028882711869681055,0.01405982964829829,0.017973527814709456,0.026207251676767483,0.007706169734347345,0.017638681257254922,0.013000218230733085,0.023439294303158918,0.029247405179069343,0.009528516306615626,0.010662941929178908,0.010570271567458153,0.011122316975202802,0.012037618691571,0.029681318396033527,0.026814634710147067,0.026659218241007036,0.025797539400828972,0.029498357263168934,0.030960967403344128,0.02192857024918154,0.03542801372003087,0.013340065181715988,0.007411672948954205,0.038082344767317415,0.01583840424907433,0.039726695180353704,0.04232990229881262,0.036447889942760346,0.003601112978805753,0.005004470765893538,0.00919843692333566,0.011009100265168919,0.004323553270526035,0.02149479696939261,0.016714817373341476,0.024263455250830814,0.02482384794778601,0.03073178608765277,0.014693109361837525,0.01151767525206089,0.02639334433205308,0.05873517624411387,0.03415077763851336,0.03842518352195148
"Rash, skin lesions",0.004524985684959043,0.009538395369798332,0.03070555768179062,0.016282658417512398,0.011586862461658616,0.026265790992289564,0.010840576743151656,0.03747303207977371,0.021423861501871987,0.017558848324859256,0.07274346873665985,0.06985686372216783,0.014909578465820363,0.00792536563264238,0.011218666167896903,0.0060137631051714316,0.029347953761492553,0.020911558227078995,0.019768284300549915,0.007501976194910095,0.011523451528350102,0.014220209204139817,0.01392149151211554,0.032410565558359396,0.005186435933537665,0.0027511137030339673,0.05206568267724436,0.0030318426479343874,0.04680946395872945,0.05844740742231279,0.04545479338665602,0.002570968586882381,0.0026807465037466264,0.004089055710310507,0.009777638553111498,0.003151957328899734,0.0050349634900869016,0.0055397386464122985,0.02347930111842072,0.023116432659810168,0.005088971740866961,0.016837496581854298,0.00518514573379387,0.07651981847356934,0.03963753034355381,0.013105597953908964,0.031964131470303005
Muscle pain,0.002691411410153625,0.006967553529452697,0.01726689175485602,0.015170336898153515,0.013052014633613539,0.031345078187787076,0.0059129713263939105,0.01638074465752465,0.01234052660736398,0.010184568758436499,0.03177707333930862,0.008359879489085207,0.022639211433467008,0.00823884537871364,0.02291182606157244,0.008489052792804097,0.023861133266034975,0.023563064097906563,0.021144782518243137,0.008791188449845914,0.023078773490033615,0.028750482942344557,0.013697742686931151,0.03284982411261161,0.0052774521158298,0.0026748706301954694,0.030517130302006982,0.0034053571563674523,0.04239615134805202,0.03810774203246284,0.03407921919422724,0.004355072523475532,0.007076410692228204,0.02502108199987554,0.025609301679523067,0.0045957705002500964,0.04146601462203203,0.03806681922962123,0.043407832350694675,0.018309820090574656,0.028994886625839246,0.031408538514280444,0.007273865586750881,0.017663195291932325,0.05863655321399918,0.044510779428259005,0.03768115704888383
Joint pain,0.002778584823477033,0.006570821912239001,0.021348204315458634,0.012320048978963456,0.007978413072937268,0.03313593418575795,0.006703732549842255,0.035800441686376874,0.01638593460218025,0.01269970290957328,0.040265855574992945,0.010479271020184703,0.015408439170840164,0.00896730329985624,0.029311209477431155,0.008041489177904003,0.027383681324356434,0.02789401580450847,0.02302625996160258,0.00830451830778039,0.02302866443968169,0.033204089218598826,0.015320655310241073,0.042635969470851486,0.0054635430947605965,0.0025988300888468607,0.03552608481756982,0.003273310547188571,0.058765909903638495,0.04860475357179272,0.03980063905181401,0.005962483508165278,0.0068276053471191585,0.008781969336399697,0.012758570154920296,0.005541462396388607,0.01979507634637078,0.01661502176885666,0.02365767733330124,0.029559880951649187,0.02100510230358358,0.014415549575413772,0.0065461679636992735,0.06761812231432972,0.0448212234641679,0.02199565752023187,0.031072118044155737
Abdominal pain,0.0020462583901004307,0.005554237510921302,0.009938813184753608,0.008675117169767608,0.005207833709554296,0.016940442464214032,0.0035284401865211122,0.013812034242967747,0.03648286286039516,0.008575886404628079,0.00882002839346682,0.005075846625434652,0.012836935485209333,0.0033688670612641285,0.0053595256070698835,0.006699577329884923,0.034151213086951696,0.02364684374006137,0.011216136421828032,0.008256986169977767,0.010839312850417195,0.03290903797010193,0.01592529450329651,0.0414242263975273,0.01189700060440542,0.00960383833051031,0.05422052134995798,0.015434346819312219,0.06143462693167599,0.06481140619738636,0.014247303894953085,0.0028752653012400252,0.004848199824258222,0.007514649868972114,0.012107223562356993,0.003743563368415395,0.016498072771189632,0.015244190709951961,0.07895678874752146,0.052740823655932995,0.005841290230876152,0.06420695371348899,0.04660862324073264,0.008080065221839863,0.05445559214699247,0.011431033635562382,0.0519068621061523
Nausea,0.003394539571835202,0.01170797980208057,0.01951164170577481,0.009901878828381361,0.009062252216767258,0.030415721101141834,0.006524013674819458,0.044600975597234485,0.06302148588918474,0.028135648685667546,0.023864447264079595,0.01136574978316568,0.017297955048969735,0.009692482658935955,0.015945141243609216,0.007542250930490878,0.03429533957669184,0.017039748453141115,0.007988227157318142,0.010681563992712072,0.011998334835323097,0.022205143636466317,0.016197190131855606,0.0254634746651075,0.0376039361088225,0.050035577677693045,0.04981176748473486,0.0637441953062283,0.03988448930116769,0.04890878921851668,0.01160704888221435,0.0016662024822033331,0.0025852078940009787,0.005681241931586609,0.011208230568138865,0.0019188326802360338,0.02175000755966551,0.01518778016634314,0.04035807523165017,0.017758937953484197,0.003277705532245878,0.027925317170156665,0.007744809844778898,0.006654157254791053,0.02181457791974661,0.013905962916687928,0.041113962464152894
