cluster,total,Hypertension,proportion_Hypertension,Diabetes,proportion_Diabetes,Chronic Kidney Disease,proportion_Chronic Kidney Disease,"Chronic Liver Disease (i.e Cirrhosis, Hepatitis B)","proportion_Chronic Liver Disease (i.e Cirrhosis, Hepatitis B)",Asthma,proportion_Asthma,Chronic Obstructive Pulmonary Disease,proportion_Chronic Obstructive Pulmonary Disease,Other Chronic Lung Disease,proportion_Other Chronic Lung Disease,Stroke,proportion_Stroke,Spinal Cord Injury,proportion_Spinal Cord Injury,"Other Neurological Disease (Parkinson, Epilepsy, Dementia)","proportion_Other Neurological Disease (Parkinson, Epilepsy, Dementia)",Obesity,proportion_Obesity,Immunodeficiency (i.e auto-immune disease),proportion_Immunodeficiency (i.e auto-immune disease),Cancer,proportion_Cancer,Anxiety,proportion_Anxiety,Depression,proportion_Depression,Other Psychiatric Disease,proportion_Other Psychiatric Disease,Eating disorder,proportion_Eating disorder,Inflammatory Bowel Disease/ Irritable Bowel Syndrome,proportion_Inflammatory Bowel Disease/ Irritable Bowel Syndrome
C1,239,47.0,0.19665271966527198,15.0,0.06276150627615062,2.0,0.008368200836820083,,,46,0.19246861924686193,1.0,0.0041841004184100415,9.0,0.03765690376569038,4.0,0.016736401673640166,2.0,0.008368200836820083,9.0,0.03765690376569038,40.0,0.16736401673640167,12.0,0.0502092050209205,14.0,0.058577405857740586,50.0,0.20920502092050208,25.0,0.10460251046025104,7.0,0.029288702928870293,2.0,0.008368200836820083,18.0,0.07531380753138076
C2,50,6.0,0.12,3.0,0.06,2.0,0.04,,,10,0.2,,,,,,,1.0,0.02,3.0,0.06,7.0,0.14,5.0,0.1,1.0,0.02,10.0,0.2,14.0,0.28,1.0,0.02,2.0,0.04,10.0,0.2
C3,43,2.0,0.046511627906976744,1.0,0.023255813953488372,,,,,8,0.18604651162790697,1.0,0.023255813953488372,1.0,0.023255813953488372,,,,,1.0,0.023255813953488372,6.0,0.13953488372093023,5.0,0.11627906976744186,1.0,0.023255813953488372,13.0,0.3023255813953488,10.0,0.23255813953488372,4.0,0.09302325581395349,1.0,0.023255813953488372,7.0,0.16279069767441862
C4,38,4.0,0.10526315789473684,1.0,0.02631578947368421,2.0,0.05263157894736842,,,8,0.21052631578947367,,,,,1.0,0.02631578947368421,,,2.0,0.05263157894736842,3.0,0.07894736842105263,,,,,12.0,0.3157894736842105,12.0,0.3157894736842105,2.0,0.05263157894736842,2.0,0.05263157894736842,3.0,0.07894736842105263
C5,38,3.0,0.07894736842105263,2.0,0.05263157894736842,,,,,5,0.13157894736842105,,,,,,,1.0,0.02631578947368421,,,7.0,0.18421052631578946,1.0,0.02631578947368421,4.0,0.10526315789473684,8.0,0.21052631578947367,9.0,0.23684210526315788,4.0,0.10526315789473684,,,2.0,0.05263157894736842
C6,36,6.0,0.16666666666666666,,,,,,,9,0.25,,,,,,,1.0,0.027777777777777776,1.0,0.027777777777777776,3.0,0.08333333333333333,5.0,0.1388888888888889,1.0,0.027777777777777776,13.0,0.3611111111111111,12.0,0.3333333333333333,1.0,0.027777777777777776,1.0,0.027777777777777776,2.0,0.05555555555555555
C7,35,5.0,0.14285714285714285,1.0,0.02857142857142857,3.0,0.08571428571428572,,,9,0.2571428571428571,,,1.0,0.02857142857142857,1.0,0.02857142857142857,1.0,0.02857142857142857,4.0,0.11428571428571428,11.0,0.3142857142857143,5.0,0.14285714285714285,2.0,0.05714285714285714,8.0,0.22857142857142856,6.0,0.17142857142857143,2.0,0.05714285714285714,,,4.0,0.11428571428571428
C8,28,6.0,0.21428571428571427,,,,,,,2,0.07142857142857142,,,,,,,,,1.0,0.03571428571428571,3.0,0.10714285714285714,2.0,0.07142857142857142,3.0,0.10714285714285714,10.0,0.35714285714285715,6.0,0.21428571428571427,,,,,4.0,0.14285714285714285
C10,25,,,,,,,2.0,0.08,10,0.4,,,,,,,,,2.0,0.08,,,,,14.0,0.56,,,,,,,,,,
C11,25,2.0,0.08,1.0,0.04,,,,,6,0.24,1.0,0.04,,,2.0,0.08,,,3.0,0.12,,,,,8.0,0.32,,,,,,,,,,
C9,25,1.0,0.04,,,,,1.0,0.04,8,0.32,,,,,,,,,,,2.0,0.08,4.0,0.16,1.0,0.04,9.0,0.36,9.0,0.36,2.0,0.08,3.0,0.12,3.0,0.12
C12,24,2.0,0.08333333333333333,,,,,,,6,0.25,,,,,,,,,,,1.0,0.041666666666666664,2.0,0.08333333333333333,1.0,0.041666666666666664,11.0,0.4583333333333333,5.0,0.20833333333333334,,,,,8.0,0.3333333333333333
C13,23,2.0,0.08695652173913043,,,,,,,6,0.2608695652173913,,,,,3.0,0.13043478260869565,1.0,0.043478260869565216,2.0,0.08695652173913043,,,,,10.0,0.43478260869565216,,,,,,,,,,
C14,22,1.0,0.045454545454545456,,,,,,,6,0.2727272727272727,,,1.0,0.045454545454545456,1.0,0.045454545454545456,1.0,0.045454545454545456,2.0,0.09090909090909091,3.0,0.13636363636363635,7.0,0.3181818181818182,,,11.0,0.5,10.0,0.45454545454545453,2.0,0.09090909090909091,2.0,0.09090909090909091,5.0,0.22727272727272727
C15,12,1.0,0.08333333333333333,2.0,0.16666666666666666,,,,,2,0.16666666666666666,,,,,,,1.0,0.08333333333333333,1.0,0.08333333333333333,,,2.0,0.16666666666666666,,,4.0,0.3333333333333333,3.0,0.25,1.0,0.08333333333333333,,,1.0,0.08333333333333333
C16,12,1.0,0.08333333333333333,1.0,0.08333333333333333,,,,,2,0.16666666666666666,,,1.0,0.08333333333333333,,,,,,,3.0,0.25,1.0,0.08333333333333333,1.0,0.08333333333333333,3.0,0.25,4.0,0.3333333333333333,2.0,0.16666666666666666,,,,
