cluster,total,Hypertension,proportion_Hypertension,Diabetes,proportion_Diabetes,Chronic Kidney Disease,proportion_Chronic Kidney Disease,"Chronic Liver Disease (i.e Cirrhosis, Hepatitis B)","proportion_Chronic Liver Disease (i.e Cirrhosis, Hepatitis B)",Asthma,proportion_Asthma,Chronic Obstructive Pulmonary Disease,proportion_Chronic Obstructive Pulmonary Disease,Other Chronic Lung Disease,proportion_Other Chronic Lung Disease,Stroke,proportion_Stroke,Spinal Cord Injury,proportion_Spinal Cord Injury,"Other Neurological Disease (Parkinson, Epilepsy, Dementia)","proportion_Other Neurological Disease (Parkinson, Epilepsy, Dementia)",Obesity,proportion_Obesity,Immunodeficiency (i.e auto-immune disease),proportion_Immunodeficiency (i.e auto-immune disease),Cancer,proportion_Cancer,Anxiety,proportion_Anxiety,Depression,proportion_Depression,Other Psychiatric Disease,proportion_Other Psychiatric Disease,Eating disorder,proportion_Eating disorder,Inflammatory Bowel Disease/ Irritable Bowel Syndrome,proportion_Inflammatory Bowel Disease/ Irritable Bowel Syndrome,Other - please specify below,proportion_Other - please specify below,None,proportion_None
C1,205,30.0,0.14634146341463414,10.0,0.04878048780487805,,,,,33.0,0.16097560975609757,,,,,3.0,0.014634146341463415,2.0,0.00975609756097561,4.0,0.01951219512195122,15.0,0.07317073170731707,10.0,0.04878048780487805,10.0,0.04878048780487805,51.0,0.24878048780487805,25.0,0.12195121951219512,4.0,0.01951219512195122,3.0,0.014634146341463415,18.0,0.08780487804878048,33.0,0.16097560975609757,64.0,0.3121951219512195
C2,44,4.0,0.09090909090909091,,,,,,,10.0,0.22727272727272727,,,,,,,1.0,0.022727272727272728,1.0,0.022727272727272728,4.0,0.09090909090909091,5.0,0.11363636363636363,,,19.0,0.4318181818181818,19.0,0.4318181818181818,5.0,0.11363636363636363,1.0,0.022727272727272728,5.0,0.11363636363636363,16.0,0.36363636363636365,7.0,0.1590909090909091
C3,44,7.0,0.1590909090909091,1.0,0.022727272727272728,1.0,0.022727272727272728,,,7.0,0.1590909090909091,,,,,,,1.0,0.022727272727272728,3.0,0.06818181818181818,5.0,0.11363636363636363,3.0,0.06818181818181818,5.0,0.11363636363636363,11.0,0.25,10.0,0.22727272727272727,1.0,0.022727272727272728,3.0,0.06818181818181818,8.0,0.18181818181818182,14.0,0.3181818181818182,15.0,0.3409090909090909
C4,41,6.0,0.14634146341463414,2.0,0.04878048780487805,1.0,0.024390243902439025,,,10.0,0.24390243902439024,,,,,1.0,0.024390243902439025,1.0,0.024390243902439025,1.0,0.024390243902439025,7.0,0.17073170731707318,2.0,0.04878048780487805,2.0,0.04878048780487805,8.0,0.1951219512195122,10.0,0.24390243902439024,3.0,0.07317073170731707,,,2.0,0.04878048780487805,10.0,0.24390243902439024,9.0,0.21951219512195122
C5,36,5.0,0.1388888888888889,1.0,0.027777777777777776,1.0,0.027777777777777776,,,8.0,0.2222222222222222,,,1.0,0.027777777777777776,,,,,,,3.0,0.08333333333333333,6.0,0.16666666666666666,1.0,0.027777777777777776,7.0,0.19444444444444445,11.0,0.3055555555555556,1.0,0.027777777777777776,,,6.0,0.16666666666666666,12.0,0.3333333333333333,4.0,0.1111111111111111
C6,35,1.0,0.02857142857142857,,,,,1.0,0.02857142857142857,4.0,0.11428571428571428,,,,,,,1.0,0.02857142857142857,2.0,0.05714285714285714,4.0,0.11428571428571428,6.0,0.17142857142857143,,,11.0,0.3142857142857143,10.0,0.2857142857142857,1.0,0.02857142857142857,4.0,0.11428571428571428,7.0,0.2,16.0,0.45714285714285713,7.0,0.2
C7,32,1.0,0.03125,,,,,1.0,0.03125,9.0,0.28125,,,,,,,1.0,0.03125,5.0,0.15625,,,,,9.0,0.28125,,,,,,,,,,,,,,
C8,25,1.0,0.04,1.0,0.04,,,,,,,,,,,,,,,1.0,0.04,2.0,0.08,2.0,0.08,4.0,0.16,8.0,0.32,6.0,0.24,,,,,3.0,0.12,6.0,0.24,11.0,0.44
C9,24,3.0,0.125,1.0,0.041666666666666664,,,,,5.0,0.20833333333333334,1.0,0.041666666666666664,,,2.0,0.08333333333333333,,,,,,,,,8.0,0.3333333333333333,,,,,,,,,,,,,,
C10,23,1.0,0.043478260869565216,2.0,0.08695652173913043,,,,,4.0,0.17391304347826086,,,,,1.0,0.043478260869565216,1.0,0.043478260869565216,,,1.0,0.043478260869565216,4.0,0.17391304347826086,1.0,0.043478260869565216,6.0,0.2608695652173913,5.0,0.21739130434782608,1.0,0.043478260869565216,,,3.0,0.13043478260869565,7.0,0.30434782608695654,8.0,0.34782608695652173
