cluster,total,auto,proportion_auto,cancer,proportion_cancer,diab,proportion_diab,heart,proportion_heart,hiv,proportion_hiv,hosp,proportion_hosp,hyper,proportion_hyper,icu,proportion_icu,kidney,proportion_kidney,lung,proportion_lung,oxy,proportion_oxy,smk,proportion_smk,student,proportion_student,venti,proportion_venti
C1,251,15,0.05976095617529881,9.0,0.035856573705179286,21.0,0.08366533864541832,7.0,0.027888446215139442,43,0.17131474103585656,27.0,0.10756972111553785,35,0.1394422310756972,7.0,0.027888446215139442,3.0,0.01195219123505976,36,0.14342629482071714,17.0,0.06772908366533864,152,0.6055776892430279,139,0.5537848605577689,2.0,0.00796812749003984
C2,63,4,0.06349206349206349,4.0,0.06349206349206349,2.0,0.031746031746031744,1.0,0.015873015873015872,6,0.09523809523809523,2.0,0.031746031746031744,11,0.1746031746031746,2.0,0.031746031746031744,1.0,0.015873015873015872,10,0.15873015873015872,2.0,0.031746031746031744,36,0.5714285714285714,38,0.6031746031746031,1.0,0.015873015873015872
C3,34,4,0.11764705882352941,2.0,0.058823529411764705,,,,,2,0.058823529411764705,3.0,0.08823529411764706,5,0.14705882352941177,1.0,0.029411764705882353,,,8,0.23529411764705882,2.0,0.058823529411764705,23,0.6764705882352942,25,0.7352941176470589,1.0,0.029411764705882353
C4,34,2,0.058823529411764705,1.0,0.029411764705882353,,,,,10,0.29411764705882354,1.0,0.029411764705882353,5,0.14705882352941177,1.0,0.029411764705882353,,,2,0.058823529411764705,1.0,0.029411764705882353,22,0.6470588235294118,16,0.47058823529411764,,
C5,33,2,0.06060606060606061,3.0,0.09090909090909091,3.0,0.09090909090909091,,,4,0.12121212121212122,5.0,0.15151515151515152,6,0.18181818181818182,2.0,0.06060606060606061,1.0,0.030303030303030304,11,0.3333333333333333,3.0,0.09090909090909091,19,0.5757575757575758,20,0.6060606060606061,,
C6,32,9,0.28125,,,2.0,0.0625,,,3,0.09375,5.0,0.15625,2,0.0625,1.0,0.03125,,,4,0.125,4.0,0.125,19,0.59375,20,0.625,,
C7,31,1,0.03225806451612903,1.0,0.03225806451612903,,,,,5,0.16129032258064516,4.0,0.12903225806451613,3,0.0967741935483871,2.0,0.06451612903225806,,,7,0.22580645161290322,4.0,0.12903225806451613,14,0.45161290322580644,13,0.41935483870967744,,
C8,29,2,0.06896551724137931,2.0,0.06896551724137931,2.0,0.06896551724137931,1.0,0.034482758620689655,2,0.06896551724137931,2.0,0.06896551724137931,7,0.2413793103448276,1.0,0.034482758620689655,,,9,0.3103448275862069,1.0,0.034482758620689655,21,0.7241379310344828,20,0.6896551724137931,1.0,0.034482758620689655
C9,29,5,0.1724137931034483,1.0,0.034482758620689655,3.0,0.10344827586206896,,,2,0.06896551724137931,1.0,0.034482758620689655,4,0.13793103448275862,1.0,0.034482758620689655,1.0,0.034482758620689655,6,0.20689655172413793,1.0,0.034482758620689655,15,0.5172413793103449,14,0.4827586206896552,1.0,0.034482758620689655
C10,26,1,0.038461538461538464,,,2.0,0.07692307692307693,2.0,0.07692307692307693,4,0.15384615384615385,2.0,0.07692307692307693,2,0.07692307692307693,1.0,0.038461538461538464,,,5,0.19230769230769232,1.0,0.038461538461538464,13,0.5,9,0.34615384615384615,,
C11,25,3,0.12,1.0,0.04,1.0,0.04,,,3,0.12,3.0,0.12,5,0.2,,,1.0,0.04,7,0.28,,,17,0.68,14,0.56,,
C12,23,4,0.17391304347826086,1.0,0.043478260869565216,1.0,0.043478260869565216,,,3,0.13043478260869565,2.0,0.08695652173913043,3,0.13043478260869565,,,,,3,0.13043478260869565,1.0,0.043478260869565216,17,0.7391304347826086,17,0.7391304347826086,,
C13,22,3,0.13636363636363635,1.0,0.045454545454545456,,,1.0,0.045454545454545456,1,0.045454545454545456,,,2,0.09090909090909091,,,,,3,0.13636363636363635,,,11,0.5,8,0.36363636363636365,,
C14,21,2,0.09523809523809523,,,2.0,0.09523809523809523,,,2,0.09523809523809523,4.0,0.19047619047619047,4,0.19047619047619047,2.0,0.09523809523809523,,,4,0.19047619047619047,4.0,0.19047619047619047,8,0.38095238095238093,12,0.5714285714285714,1.0,0.047619047619047616
C15,16,1,0.0625,1.0,0.0625,2.0,0.125,,,1,0.0625,6.0,0.375,5,0.3125,,,,,3,0.1875,5.0,0.3125,8,0.5,8,0.5,,
